% Model:              piezoelectric_rate_gyroscope.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 18 2023, 16:43
% Table:              Eigenfrequencies (Eigenmodes) - 
% Eigenfrequency (Hz)                             Angular frequency (rad/s)                         Damping ratio (1)                                 Quality factor (1)
3962.5689839740285+0.09823006201738924i           24897.555218791156+0.6171976823909996i            2.478948944093662E-5                              20169.838559656455
6225.32779049607+0.1549179644093112i              39114.88810562166+0.9733782777947542i             2.4885109599826955E-5                             20092.336663989492
7525.882818281369+0.18717705612283753i            47286.51634738079+1.1760681288721415i             2.487110955412013E-5                              20103.646719579923
8460.523967020892+0.2100860313898979i             53159.03988062641+1.3200094656726757i             2.4831326303671488E-5                             20135.85556749224
9314.93612907626+0.2321024960980201i              58527.46982352825+1.4583429932427872i             2.4917239668607855E-5                             20066.428169807597
9757.2882718765+0.24191050960216895i              61306.85030777012+1.5199685595846741i             2.4792801318075248E-5                             20167.144228089863
10303.148162608368+0.2566153533400096i            64736.58915299525+1.6123618177026464i             2.4906499373823497E-5                             20075.081306909608
10739.569247113965+0.266045744861323i             67478.7036989042+1.6716147151503136i              2.4772478174688833E-5                             20183.689192261463
21333.597754464794-11.45632843589425i             134042.94796013262-71.98223450263444i             -5.370086619177124E-4                             -931.083677895342
