% Model:              piezoelectric_rate_gyroscope.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 18 2023, 17:06
% Table:              Eigenfrequencies (Eigenmodes) - 
% Eigenfrequency (Hz)                             Angular frequency (rad/s)                         Damping ratio (1)                                 Quality factor (1)
3237.789617470671+0.08036556618405848i            20343.632152230333+0.5049517446508448i            2.4821120472331094E-5                             20144.134933689482
3763.49683221871+0.0937544810730974i              23646.747999813517+0.5890767779607322i            2.4911534464806402E-5                             20071.02375433242
7029.438536754447+0.17429806775310472i            44167.26493185751+1.0951470583760996i             2.479544657630639E-5                              20164.992732084185
7278.391193643941+0.181061206907306i              45731.4806078089+1.1376411149401882i              2.4876542361366698E-5                             20099.256268688714
10053.436020385516+0.24913426521946913i           63167.60148995629+1.5653567547419507i             2.4781006676503343E-5                             20176.742879218302
10619.852212261932+0.2644793489095125i            66726.4993845028+1.6617727591206723i              2.4904240053559364E-5                             20076.90252441728
16458.815159298716+0.408388554968858i             103413.78558249034+2.5659809682006314i            2.4812755407391176E-5                             20150.926077764863
18213.462715702637+0.4530371706865158i            114438.56132816602+2.8465164944637262i            2.4873752872691497E-5                             20101.510317284778
18300.084642330134+0.4578550775656227i            114982.8229448315+2.8767882961778906i             2.5019287417023872E-5                             19984.58196134655
