% Model:              piezoelectric_rate_gyroscope.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 18 2023, 16:10
% Table:              Eigenfrequencies (Eigenmodes) - 
% Eigenfrequency (Hz)                             Angular frequency (rad/s)                         Damping ratio (1)                                 Quality factor (1)
3910.521551857184+0.09693353397764704i            24570.531558038172+0.609051356461345i             2.4787878717055406E-5                             20171.149201886845
6173.849035081562+0.15361812450531748i            38791.43754596933+0.9652111428082951i             2.4882066857297916E-5                             20094.793686857643
7472.703991826546+0.18583797740093608i            46952.383926346796+1.1676544491215335i            2.486890656270261E-5                              20105.42758441499
8396.188334431672+0.2084768297473297i             52754.80717921373+1.309898553555802i              2.4829937273813618E-5                             20136.98200225881
9225.963099038243+0.22990089937144095i            57968.43578845813+1.4445099530380103i             2.4918905141082583E-5                             20065.087016029225
9688.235834839883+0.24040532639158863i            60872.9810499567+1.5105112145513424i              2.481414887249676E-5                              20149.79448092957
10233.688955542742+0.2538323393511367i            64300.16408371217+1.5948756250980847i             2.48036011623722E-5                               20158.36316375361
10629.973690826762+0.26345736294057126i           66790.09450990827+1.655351431896477i              2.4784385222609523E-5                             20173.992435522494
21091.59775750044+44.61835753355784i              132522.41713486868+280.34540848533624i            0.002115451764718324                              236.35613363492402
